Took over 10 hours and was still working ... 
Unstable results


nrounds = 800.0000	eta = 0.2181	max_depth = 6.0000	gamma = 0.0000	Value = -0.8807


nrounds = 746.5130	eta = 0.2058	max_depth = 5.0000	gamma = 3.6674	Value = -0.9625 
Gave LB Score of


nrounds = 372.6622	eta = 0.2842	max_depth = 6.0000	gamma = 0.0000	Value = -0.9136 


nrounds = 50.0000	eta = 0.5137	max_depth = 6.0000	gamma = 0.0000	Value = -0.9639 





opt_res <- BayesianOptimization(opt_fn
                                ,bounds = list(
                                    nrounds = c(50,800)
                                    ,eta = c(0.001,0.7)
                                    ,max_depth = c(2L,6L)
                                    ,gamma = c(0,50)
                               )
                                ,init_grid_dt = NULL
                                ,init_points = 10
                                ,n_iter = 200
                                ,acq = "ucb"
                                ,kappa = 2.576
                                ,eps = 0.0
                                ,verbose = TRUE)

elapsed = 39.29	Round = 53	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 50.0000	Value = -0.9877 
elapsed = 406.46	Round = 54	nrounds = 376.6755	eta = 0.7000	max_depth = 6.0000	gamma = 3.2752	Value = -0.8797 
elapsed = 111.31	Round = 55	nrounds = 639.0759	eta = 0.1136	max_depth = 4.0000	gamma = 26.5384	Value = -0.9860 
elapsed = 40.93	Round = 56	nrounds = 419.2859	eta = 0.3231	max_depth = 2.0000	gamma = 50.0000	Value = -0.9914 
elapsed = 190.32	Round = 57	nrounds = 439.4210	eta = 0.6079	max_depth = 2.0000	gamma = 0.0000	Value = -0.9780 
elapsed = 48.95	Round = 58	nrounds = 800.0000	eta = 0.3471	max_depth = 6.0000	gamma = 41.4219	Value = -0.9876 
elapsed = 558.31	Round = 59	nrounds = 513.7631	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.8310 
elapsed = 865.69	Round = 60	nrounds = 800.0000	eta = 0.4912	max_depth = 6.0000	gamma = 0.0000	Value = -0.8106 
elapsed = 135.02	Round = 61	nrounds = 800.0000	eta = 0.0833	max_depth = 2.0000	gamma = 50.0000	Value = -0.9913 
elapsed = 53.57	Round = 62	nrounds = 50.0000	eta = 0.5137	max_depth = 6.0000	gamma = 0.0000	Value = -0.9639 
elapsed = 49.07	Round = 63	nrounds = 238.1159	eta = 0.2669	max_depth = 2.0000	gamma = 50.0000	Value = -0.9909 
elapsed = 520.95	Round = 64	nrounds = 478.3982	eta = 0.6999	max_depth = 6.0000	gamma = 0.0000	Value = -0.8380 
elapsed = 54.01	Round = 65	nrounds = 791.0315	eta = 0.5348	max_depth = 4.0000	gamma = 11.9350	Value = -0.9818 
elapsed = 41.35	Round = 66	nrounds = 800.0000	eta = 0.4597	max_depth = 6.0000	gamma = 50.0000	Value = -0.9887 
elapsed = 21.46	Round = 67	nrounds = 50.0000	eta = 0.1299	max_depth = 2.0000	gamma = 50.0000	Value = -1.0078 
elapsed = 138.95	Round = 68	nrounds = 800.0000	eta = 0.0763	max_depth = 6.0000	gamma = 50.0000	Value = -0.9878 
elapsed = 21.68	Round = 69	nrounds = 50.0000	eta = 0.5987	max_depth = 2.0000	gamma = 50.0000	Value = -0.9918 
elapsed = 54.71	Round = 70	nrounds = 50.0000	eta = 0.1957	max_depth = 6.0000	gamma = 0.0000	Value = -0.9754 
elapsed = 349.06	Round = 71	nrounds = 800.0000	eta = 0.0010	max_depth = 2.0000	gamma = 50.0000	Value = -3.4101 
elapsed = 340.74	Round = 72	nrounds = 315.4253	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.8760 
elapsed = 432.23	Round = 73	nrounds = 401.4959	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.8551 
elapsed = 444.17	Round = 74	nrounds = 412.1750	eta = 0.3463	max_depth = 6.0000	gamma = 0.0000	Value = -0.8960 
elapsed = 21.69	Round = 75	nrounds = 50.0000	eta = 0.3541	max_depth = 2.0000	gamma = 0.0000	Value = -0.9933 
elapsed = 96.28	Round = 76	nrounds = 429.2242	eta = 0.1186	max_depth = 6.0000	gamma = 50.0000	Value = -0.9877 
elapsed = 859.97	Round = 77	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7783 
elapsed = 877.22	Round = 78	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 62.18	Round = 79	nrounds = 599.4030	eta = 0.2332	max_depth = 6.0000	gamma = 50.0000	Value = -0.9879 
elapsed = 21.87	Round = 80	nrounds = 50.0000	eta = 0.7000	max_depth = 2.0000	gamma = 0.0000	Value = -0.9890 
elapsed = 21.96	Round = 81	nrounds = 50.0000	eta = 0.2508	max_depth = 2.0000	gamma = 0.0000	Value = -0.9976 
elapsed = 33.90	Round = 82	nrounds = 50.0000	eta = 0.6637	max_depth = 6.0000	gamma = 50.0000	Value = -0.9907 
